654	ཕྲ	2		313568
655	ཟུང	3		312858
656	ཏི	2		311418
657	ངལ	2		310934
658	མོད	3		310916
659	འབྲི	4		310862
660	འཚལ	3		309500
661	ཨང	2		309498
662	འགག	3		308394
663	བརྟག	4		308140
664	ཡག	2		307792
665	འཐབ	3		307474
666	བྱིས	4		306812
667	སྣོད	4		306478
668	རྙེད	4		306314
669	ཁས	2		305434
670	བསྟོད	5		304390
671	མན	2		303956
672	སྨྲས	4		303578
673	སླར	3		302292
674	དྲིལ	4		301288
675	ནམས	3		300232
676	འཆི	3		298430
677	བཏབ	3		298010
678	ཁྲག	3		298006
679	གཡོན	4		296930
680	བསྐྲུན	6		296754
681	ཆོ	2		296696
682	ཐུག	3		296438
683	ཁོར	3		294978
684	གཞག	3		293632
685	ཕུན	3		293306
686	མཐུད	4		291216
687	སྟོད	4		290716
688	བག	2		289710
689	དབྱིངས	6		289458
690	ཁུ	2		289052
691	རྙིང	4		288352
692	འཛམ	3		287246
693	དུད	3		287142
694	འབྱེད	5		287000
695	རླབས	4		286790
696	མཁོ	3		286696
697	ཉེན	3		285408
698	འབར	3		285266
699	སྤངས	4		285052
700	ཤུལ	3		284566
701	སྐར	3		284204
702	འོན	3		282460
703	གྲོགས	5		282288
704	གངས	3		281918
705	རྩོད	4		280610
706	ཤང	2		280294
707	ཕྱེ	3		279460
708	བསྡུར	5		278432
709	འབུལ	4		278182
710	འཁྲུལ	5		278124
711	སྨད	3		276552
712	རེས	3		275154
713	གུང	3		274270
714	སྟངས	4		273478
715	བསྐྱོད	6		273222
716	ལོང	3		272882
717	གཏེར	4		272374
718	ཁུར	3		272270
719	སྐྱ	3		272108
720	སླེབས	5		270834
721	སྣེ	3		269724
722	ནུ	2		269722
723	ཤུ	2		268812
724	རྡུལ	4		268664
725	ཡུམ	3		268486
726	ཕྱེད	4		267126
727	བཟའ	3		266932
728	སྐྱབས	5		266670
729	བརྩེ	4		266624
730	བསྐོར	5		266340
731	སྤྲོ	4		266096
732	ཤོས	3		265750
733	སྒྲོག	5		265708
734	ཐོགས	4		265556
735	མཁར	3		265278
736	ཕྱུར	4		265114
737	ཤི	2		264636
738	འདུལ	4		264388
739	ཡས	2		263922
740	དགག	3		263640
741	ཧྲུའུ	5		263320
742	བཏོན	4		262424
743	ཁྲོ	3		262244
744	ཚགས	3		262154
745	དྲངས	4		261726
746	སྟག	3		261508
747	ངེ	2		260030
748	བྱོན	4		259848
749	སྐྱོད	5		258438
750	བསླབ	4		258008
751	ལོན	3		257738
752	ཨེ	2		257418
753	མདའ	3		256900
754	ཧྭ	2		256710
755	བབ	2		256270
756	འབད	3		255732
757	དྲུང	4		255730
758	མདོག	4		255484
759	རྩྭ	3		255172
760	བྱམས	4		254748
761	སྟེགས	5		254488
762	སེང	3		254298
763	བསྐུར	5		254176
764	དཔུང	4		254140
765	ཚལ	2		253812
766	གསེབ	4		253252
767	ཆོད	3		252978
768	རྒྱག	4		251718
769	དུག	3		250628
770	འབྲུ	4		249886
771	བཤེར	4		249724
772	སྤྱིར	5		249084
773	རྨང	3		248782
774	རྨ	2		247826
775	སྐལ	3		246800
776	སྟབས	4		246516
777	དྲང	3		246300
778	སམ	2		245504
779	འཕྲོད	5		244938
780	གཤིས	4		244542
781	བཅུད	4		243610
782	བླང	3		243570
783	པེ	2		242954
784	ཟུར	3		242554
785	ཐུང	3		241882
786	འདིས	4		241776
787	བཅོ	3		240714
788	ཡབ	2		240200
789	འོངས	4		240148
790	རུས	3		239906
791	བསལ	3		239436
792	ཐེབས	4		239382
793	ཕལ	2		239054
794	མདོར	4		237764
795	རོང	3		237508
796	གཟུང	4		237092
797	ལེའུ	4		235856
798	གཙུག	4		235496
799	འདེགས	5		234686
800	སྙད	3		234280
801	ཞེན	3		233780
802	རེག	3		233432
803	འཁྲབ	4		232914
804	བསྙེན	5		232778
805	རེར	3		232168
806	འདྲི	4		231486
807	སྐྱེལ	5		231094
808	འགྲུལ	5		230786
809	སྒྲིབ	5		230288
810	ཀར	2		230038
811	ལྟུང	4		229264
812	གཏིང	4		229144
813	བཟོད	4		228836
814	མོར	3		226446
815	སྒྲུང	5		226202
816	རླངས	4		225494
817	དཀོན	4		225412
818	མྱ	2		225016
819	གཡོ	3		224192
820	ཆང	2		224164
821	གཞིས	4		223970
822	བཅུག	4		222452
823	སྡིག	4		221770
824	རྡལ	3		221184
825	གཞིར	4		218918
826	བཟོས	4		218444
827	གཞིགས	5		218402
828	གདོང	4		218358
829	གནའ	3		217476
830	ལྟོས	4		217428
831	རས	2		215938
832	དོག	3		215904
833	བལྟས	4		215830
834	མཆིས	4		214168
835	བརྒྱབ	5		213870
836	འདྲེས	5		212812
837	སྤུས	4		212494
838	ཡོ	2		212012
839	འ	1		211082
840	ཀྲུའུ	5		210662
841	མགྱོགས	6		210542
842	སྒྲིལ	5		210240
843	ཕབ	2		209992
844	ཞག	2		209292
845	གླང	3		208730
846	ཀྲང	3		207008
847	བབས	3		206214
848	གདམས	4		205880
849	སྨོས	4		204764
850	ཚབ	2		204470
851	ཀློག	4		203798
852	གློ	3		203750
853	བྲང	3		203184
854	གདུང	4		202598
855	ཝ	1		202142
856	ཕྱིས	4		201090
857	ནགས	3		200776
858	ཀན	2		200544
859	བཀག	3		200366
860	བལྟ	3		199868
861	སྤོང	4		198964
862	བོས	3		198338
863	ཐེ	2		196894
864	རིམས	4		195642
865	གུས	3		195592
866	མཚར	3		195316
867	ཉ	1		194644
868	འཚོལ	4		194572
869	འབེབས	5		194330
870	པུ	2		194206
871	ཅག	2		194124
872	སྡུད	4		194050
873	སྔོ	3		193806
874	མཆེད	4		192958
875	རམ	2		192718
876	ཆག	2		192690
877	འཐད	3		192498
878	དྲིན	4		192414
879	ཞང	2		192182
880	བསྐྱར	5		191116
881	ཁར	2		191114
882	པུའུ	4		191022
883	བཞེས	4		190918
884	སྒྲོན	5		190720
885	ཕྱུགས	5		190696
886	འཛོམས	5		190440
887	གཏད	3		189348
888	རྒྱང	4		188802
889	བསྟུན	5		188798
890	བཟླས	4		187780
891	ཕིང	3		187576
892	བསྡོམས	6		187422
893	བཤེས	4		186608
894	ཉིང	3		185766
895	ཁྲོན	4		185502
896	ཤོར	3		185432
897	ཕོག	3		185228
898	མཇལ	3		183996
899	སྤྲིན	5		183596
900	ལིང	3		183592
901	འཆང	3		183204
902	ཚངས	3		182772
903	དཔྱོད	5		181846
904	པད	2		181728
905	སྦྱངས	5		181598
906	ལྷུན	4		180702
907	མཛུབ	4		179984
908	ཇོ	2		179854
909	ལུག	3		178462
910	རྔ	2		178222
911	འཁྱོངས	6		177866
912	བཞེངས	5		177760
913	མཆན	3		177668
914	ཧེ	2		177476
915	སེ	2		176300
916	སྤྲོས	5		176034
917	གྲས	3		175376
918	ཟི	2		175020
919	ཀུང	3		174496
920	བློན	4		173782
921	ལང	2		173324
922	བཅོལ	4		173282
923	སྤོས	4		172994
924	དྲོད	4		172832
925	ངུ	2		172750
926	འཚེ	3		172238
927	སྲིན	4		171788
928	འཁུར	4		171486
929	ཧུར	3		171246
930	ཙ	1		170928
931	འདབ	3		170658
932	དོར	3		170458
933	རྣ	2		170154
934	ཨོ	2		170066
935	སྤོ	3		169900
936	ཚར	2		169664
937	ཛ	1		169486
938	ཉོ	2		169182
939	ཁྲོམ	4		169170
940	རྩོལ	4		169112
941	འཁྲི	4		168984
942	ཕྲན	3		168888
943	འབོར	4		168392
944	ཟློས	4		168220
945	རྒོལ	4		167722
946	བཞེད	4		167666
947	བརྒལ	4		167280
948	སྦྲེལ	5		167106
949	རྒྱུག	5		166884
950	རལ	2		166846
951	མེས	3		166596
952	གཞས	3		165960
953	བཟློག	5		165878
954	གཅེས	4		165764
955	མྱི	3		165122
956	ངེད	3		164756
957	གོམས	4		164680
958	ལངས	3		164026
959	རྐྱང	4		163972
960	གྲི	3		163710
961	བེད	3		163550
962	རྒོད	4		163168
963	ཇ	1		162734
964	སྲོང	4		162600
965	སྒང	3		162516
966	རྨི	3		162460
967	བསྒྲུབས	7		161182
968	ཀུ	2		160782
969	བཀོལ	4		160340
970	ཆུས	3		159850
971	སྒོས	4		159644
972	སྩལ	3		159556
973	འཁྱོལ	5		158968
974	རྫོབ	4		158830
975	ཝང	2		158454
976	བཀུར	4		158336
977	བྷ	2	sk	157980
978	གྲང	3		157186
979	དབྱར	4		156912
980	མྱེད	4		156532
981	ལྗང	3		155846
982	འཐུང	4		155332
983	ཁྲལ	3		155308
984	གསབ	3		155126
985	བརྟགས	5		154802
986	ཆུད	3		154248
987	བརྒྱན	5		153366
988	ལྷུང	4		153330
989	བརྗེ	4		153090
990	ཡངས	3		152978
991	མོལ	3		152972
992	ཚོམ	3		152686
993	མཐོར	4		152198
994	བསྐལ	4		151832
995	བགྲོད	5		151270
996	མཐུ	3		151052
997	བྱད	3		150224
998	སང	2		149594
999	འགྲམ	4		148644
1000	ཕར	2		148572
1001	དམན	3		148504
1002	གཡུ	3		148328
1003	དབྱིབས	6		148216
1004	བསྐུལ	5		147824
1005	ཅུས	3		147794
1006	སླ	2		147674
1007	འགྲིམ	5		147578
1008	འགྲེམས	6		147270
1009	ཨཱ	2		147256
1010	ཕོངས	4		147188
1011	སྡང	3		147112
